"corpus","user/Poehler/compar_de_v05"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"distribuier",115.370,9,1956,125.767,0.099
"Copyle6",112.790,8,0,111.793,0.000
"Strahringer",112.530,8,47,111.793,0.002
"LIESMICH",112.400,8,70,111.793,0.004
"FSFE",106.900,8,1092,111.793,0.055
"Freiheit",106.760,440,1121163,6148.600,56.601
"ausführbar",106.460,15,19379,209.611,0.978
"Freibier",104.960,13,14664,181.663,0.740
"Artistic",102.710,8,1944,111.793,0.098
"Binärdatei",100.990,8,2316,111.793,0.117
"open",98.030,20,36867,279.482,1.861
"Freeware",97.820,23,45475,321.404,2.296
"angewandt",96.110,62,158969,866.394,8.025
"Public",95.660,60,154023,838.446,7.776
"Softwareentwickler",95.430,13,18105,181.663,0.914
"Programmierer",95.220,39,93773,544.990,4.734
"our",94.480,15,24348,209.611,1.229
"Hennig",94.130,12,15691,167.689,0.792
"freedom",93.030,8,4207,111.793,0.212
"Stallmann",92.860,7,1272,97.819,0.064
"AL",92.660,14,22227,195.637,1.122
"Groll",90.850,14,23067,195.637,1.165
"Klarstellung",90.840,19,38307,265.508,1.934
"UNIX",89.270,10,11420,139.741,0.577
"BITKOM",88.410,12,17987,167.689,0.908
"beer",86.440,7,2836,97.819,0.143
"Modifizierung",85.580,10,12766,139.741,0.644
"redistribuier",84.790,6,12,83.845,0.001
"Regionalcentrum",84.770,6,17,83.845,0.001
"Tivoisierung",84.760,6,19,83.845,0.001
"Hüttenegger",84.670,6,42,83.845,0.002
"Silberfeld",84.490,6,83,83.845,0.004
"RECO",83.990,6,202,83.845,0.010
"halbfrei",83.290,6,370,83.845,0.019
"Urhebervermerk",82.770,6,497,83.845,0.025
"Betriebssystemkern",82.650,6,527,83.845,0.027
"Softwarepatent",82.240,7,3994,97.819,0.202
"Krumbein",82.000,6,686,83.845,0.035
"Wirtschaftslexikon",80.570,6,1052,83.845,0.053
"users",79.700,7,4751,97.819,0.240
"Annals",79.480,6,1336,83.845,0.067
"Rechtsfrage",79.300,19,46759,265.508,2.361
"UrhG",78.730,17,40215,237.560,2.030
"abgerufen",78.520,8,8645,111.793,0.436
"Weiterverbreitung",77.860,8,8887,111.793,0.449
"Lizenzgebühr",77.120,12,23522,167.689,1.187
"Hurd",76.920,6,2040,83.845,0.103
"their",76.820,10,16482,139.741,0.832
"lizenzieren",76.700,10,16541,139.741,0.835
"program",73.520,10,18109,139.741,0.914
"NBS",72.470,6,3381,83.845,0.171
"Freiheitsgewährend",70.870,5,0,69.870,0.000
"freiheitsgewährend",70.850,5,7,69.870,0.000
"abkürzen",70.780,14,35218,195.637,1.778
"unbundling",70.360,5,143,69.870,0.007
"lizenzgebührenfrei",70.320,5,155,69.870,0.008
"Lizenzänderung",70.320,5,156,69.870,0.008
"OpenSource",69.860,8,12171,111.793,0.614
"Torvalds",69.460,6,4386,83.845,0.221
"change",69.400,9,16375,125.767,0.827
"Raymond",69.230,12,28454,167.689,1.436
"Entwicklungsmodell",68.780,6,4625,83.845,0.233
"Ausfuhrbestimmung",68.670,5,634,69.870,0.032
"binär",67.470,11,25617,153.715,1.293
"Jäger",66.590,82,321322,1145.876,16.222
"V2",66.010,10,22424,139.741,1.132
"Binärcode",65.990,5,1464,69.870,0.074
"Urheberrechtsgesetz",65.360,7,10140,97.819,0.512
"Urheberrecht",64.980,46,176455,642.808,8.908
"urheberrecht",63.770,7,10886,97.819,0.550
"copy",63.660,7,10939,97.819,0.552
"equipment",62.620,5,2609,69.870,0.132
"unethisch",62.090,6,7260,83.845,0.367
"Vorbis",61.710,5,2940,69.870,0.148
"lizenziert",61.630,10,25424,139.741,1.284
"as",60.360,36,145599,503.067,7.350
"Geschäftsgeheimnis",60.120,6,8146,83.845,0.411
"Debian",60.050,11,31227,153.715,1.576
"Reilly",59.690,7,12983,97.819,0.655
"Diedrich",59.530,6,8421,83.845,0.425
"ru",59.400,6,8483,83.845,0.428
"many",58.640,6,8854,83.845,0.447
"Kopie",58.580,68,301832,950.238,15.238
"X11",58.270,5,4285,69.870,0.216
"Computernutzer",57.810,5,4476,69.870,0.226
"IEEE",57.690,7,14122,97.819,0.713
"Commons",57.550,10,28634,139.741,1.446
"windowsnews",56.900,4,0,55.896,0.000
"IT_Beratungsleistung",56.900,4,0,55.896,0.000
"Dateiderivat",56.900,4,0,55.896,0.000
"CCOSS",56.900,4,0,55.896,0.000
"Kommerzialisierungsmöglichkeit",56.860,4,11,55.896,0.001
"propagate",56.820,4,27,55.896,0.001
"Kelty",56.800,4,35,55.896,0.002
"Distrubution",56.730,4,58,55.896,0.003
"vertragsbasiert",56.720,4,60,55.896,0.003
"Saleck",56.680,4,74,55.896,0.004
"Copyrigt",56.680,4,74,55.896,0.004
"Gabler",56.640,6,9864,83.845,0.498
"Softwarekategorie",56.600,4,104,55.896,0.005
"convey",56.540,4,126,55.896,0.006
"Lizenzstatus",56.490,4,143,55.896,0.007
"Bauhus",56.470,4,148,55.896,0.007
"Steinbring",56.430,4,164,55.896,0.008
"Copyrightinhaber",56.110,4,276,55.896,0.014
"compromise",56.110,4,278,55.896,0.014
"Hackerkultur",56.080,4,287,55.896,0.014
"Serverlizenz",55.800,4,391,55.896,0.020
"Programmkopie",55.760,4,405,55.896,0.020
"Weitervertrieb",55.720,4,419,55.896,0.021
"its",55.600,8,20375,111.793,1.029
"Alike",55.520,4,490,55.896,0.025
"services",55.430,6,10509,83.845,0.531
"Teupen",55.290,4,574,55.896,0.029
"pricing",55.240,4,595,55.896,0.030
"Datenschutzrichtlinie",55.110,6,10688,83.845,0.540
"Lizenzvereinbarung",54.990,5,5719,69.870,0.289
"Urheber",54.940,30,131708,419.223,6.649
"kommerziell",54.800,64,303805,894.342,15.337
"Linux",54.770,59,278755,824.471,14.073
"Ploch",54.610,4,830,55.896,0.042
"Vertraulichkeitsvereinbarung",54.490,4,873,55.896,0.044
"Verändern",54.470,6,11043,83.845,0.557
"Sparkassenakademie",54.220,4,976,55.896,0.049
"Softwareprojekt",54.030,5,6175,69.870,0.312
"Villanueva",53.870,4,1112,55.896,0.056
"Ellmer",53.800,4,1141,55.896,0.058
"BGBI",53.670,4,1192,55.896,0.060
"WSIS",53.640,4,1204,55.896,0.061
"Binär",53.620,4,1210,55.896,0.061
"Patentrecht",53.100,6,11843,83.845,0.598
"campaign",53.070,4,1427,55.896,0.072
"IBM",53.060,28,126628,391.275,6.393
"Cygnus",52.740,4,1560,55.896,0.079
"that",52.660,22,96203,307.430,4.857
"Mitschke",52.450,4,1681,55.896,0.085
"it",52.430,47,228718,656.782,11.547
"Riehle",52.100,4,1825,55.896,0.092
"libre",51.860,4,1925,55.896,0.097
"Nutzungseinschränkung",51.800,4,1949,55.896,0.098
"translations",51.700,4,1989,55.896,0.100
"Clipboard",51.470,4,2090,55.896,0.106
"Restriktion",51.420,9,29026,125.767,1.465
"modifizieren",51.380,19,82939,265.508,4.187
"vervielfältigen",51.130,8,23891,111.793,1.206
"Lizenzvertrag",50.790,6,13281,83.845,0.670
"Attribution",50.600,4,2464,55.896,0.124
"Endnutzer",50.310,5,8095,69.870,0.409
"did",49.590,5,8502,69.870,0.429
"Weitergabe",49.570,21,97851,293.456,4.940
"Richtigkeit",49.410,24,115057,335.378,5.809
"et",49.050,50,262734,698.705,13.264
"Trusted",48.730,7,20359,97.819,1.028
"DRM",48.310,8,26435,111.793,1.335
"Mediendatei",48.290,4,3531,55.896,0.178
"by",48.260,61,330494,852.420,16.685
"Spindler",48.210,5,9311,69.870,0.470
"Lizenznehmer",47.700,7,21230,97.819,1.072
"fre",47.360,5,9834,69.870,0.496
"Ziffer",47.330,30,156073,419.223,7.879
"whole",46.940,4,4202,55.896,0.212
"social",46.910,9,33717,125.767,1.702
"each",46.740,4,4304,55.896,0.217
"freizügig",46.660,7,22144,97.819,1.118
"price",46.630,4,4359,55.896,0.220
"hardware",46.620,4,4364,55.896,0.220
"Rechteinhaber",46.500,9,34188,125.767,1.726
"community",46.340,6,16455,83.845,0.831
"Distribution",46.190,15,70512,209.611,3.560
"Softwareprodukt",46.120,6,16629,83.845,0.840
"Schadsoftware",45.440,6,17174,83.845,0.867
"frei",45.150,774,4725604,10815.947,238.568
"Qt",44.500,4,5517,55.896,0.279
"Gewähr",44.280,14,68153,195.637,3.441
"gemeinfrei",44.200,4,5690,55.896,0.287
"Softwarefirma",43.900,4,5867,55.896,0.296
"Redefreiheit",43.520,4,6087,55.896,0.307
"nebenberuflich",43.490,8,31560,111.793,1.593
"only",43.310,8,31780,111.793,1.604
"th",42.960,7,25756,97.819,1.300
"NEVARIS",42.920,3,0,41.922,0.000
"Videovertreiber",42.910,3,5,41.922,0.000
"Proprietarität",42.900,3,12,41.922,0.001
"Ausfuhrkontrollbestimmung",42.830,3,41,41.922,0.002
"Hackergemeinschaft",42.820,3,46,41.922,0.002
"EIDAMO",42.780,3,66,41.922,0.003
"EasyWk",42.760,3,75,41.922,0.004
"Bankkauffrau",42.700,4,6586,55.896,0.332
"Corresponding",42.680,3,113,41.922,0.006
"Freiheitsrecht",42.540,6,19698,83.845,0.994
"Proprietär",42.480,3,207,41.922,0.010
"Zugriffslizenz",42.440,3,226,41.922,0.011
"adding",42.430,3,231,41.922,0.012
"Offenlegung",42.390,9,39433,125.767,1.991
"AGPL",42.370,3,256,41.922,0.013
"Quelloffen",42.370,3,260,41.922,0.013
"Northern",42.300,6,19923,83.845,1.006
"robotron",42.190,3,343,41.922,0.017
"Lizenzmodelle",42.150,3,362,41.922,0.018
"Vervielfältigung",42.050,8,33323,111.793,1.682
"EXCLUSIVE",42.040,3,418,41.922,0.021
"Objektcode",41.920,3,475,41.922,0.024
"Entwicklungsmethodik",41.880,3,493,41.922,0.025
"Softwarebibliothek",41.880,3,494,41.922,0.025
"Schutzfrist",41.860,4,7118,55.896,0.359
"unixoid",41.800,3,532,41.922,0.027
"Ronneburg",41.650,4,7253,55.896,0.366
"Lizenzkosten",41.640,4,7256,55.896,0.366
"Lizenzbedingung",41.630,4,7262,55.896,0.367
"SCO",41.570,4,7306,55.896,0.369
"Zweckdienlichkeit",41.540,3,660,41.922,0.033
"Abändern",41.520,3,671,41.922,0.034
"share",41.510,4,7343,55.896,0.371
"leasing",41.500,3,678,41.922,0.034
"Nutzungsrecht",41.390,12,60915,167.689,3.075
"CALs",41.350,3,755,41.922,0.038
"computers",41.270,3,795,41.922,0.040
"Unix",40.890,6,21293,83.845,1.075
"Betriebssystem",40.840,58,373797,810.497,18.871
"GFDL",40.750,3,1055,41.922,0.053
"nod",40.710,3,1074,41.922,0.054
"akzeptabel",40.670,25,150834,349.352,7.615
"requirements",40.590,3,1140,41.922,0.058
"Freiheitsgedanke",40.540,3,1165,41.922,0.059
"Heise",40.500,8,35353,111.793,1.785
"SOURCE",40.490,3,1190,41.922,0.060
"Computing",40.470,14,76428,195.637,3.858
"Warenzeichen",40.440,5,14904,69.870,0.752
"Entwickler",40.430,65,425657,908.316,21.489
"Softwareunternehmen",40.430,4,8069,55.896,0.407
"Serverbetreiber",40.400,3,1237,41.922,0.062
"addition",40.250,3,1314,41.922,0.066
"Baumkontrolle",40.210,3,1336,41.922,0.067
"Seel",40.140,4,8268,55.896,0.417
"hampeln",40.110,4,8291,55.896,0.419
"Mozilla",40.020,11,56774,153.715,2.866
"Lizenzgeber",39.870,4,8459,55.896,0.427
"Anwendungsprogramm",39.760,4,8534,55.896,0.431
"Serversoftware",39.760,3,1574,41.922,0.079
"Kopierschutz",39.640,6,22591,83.845,1.140
"this",39.590,15,85566,209.611,4.320
"html",39.300,12,65222,167.689,3.293
"Secur",39.100,3,1934,41.922,0.098
"Betriebswirtschaftslehre",38.930,8,37587,111.793,1.898
"companies",38.890,3,2053,41.922,0.104
"node",38.880,3,2060,41.922,0.104
"Effort",38.760,3,2125,41.922,0.107
"Nutzungsbeschränkung",38.730,3,2144,41.922,0.108
"Schwesterorganisation",38.490,3,2281,41.922,0.115
"speech",38.320,3,2378,41.922,0.120
"Connecting",38.260,3,2412,41.922,0.122
"EULA",37.770,3,2705,41.922,0.137
"doi",37.670,3,2760,41.922,0.139
"mitliefern",37.460,10,54611,139.741,2.757
"Gerätetreiber",37.380,3,2937,41.922,0.148
"which",37.300,5,17830,69.870,0.900
"Maaß",37.190,4,10494,55.896,0.530
"sell",37.050,3,3138,41.922,0.158
"Softwareentwicklung",36.990,8,40591,111.793,2.049
"Haftungs",36.940,3,3210,41.922,0.162
"how",36.910,6,25725,83.845,1.299
"may",36.740,4,10869,55.896,0.549
"Ausgewählte",36.480,3,3501,41.922,0.177
"Richard",36.310,59,430520,824.471,21.734
"Vendor",35.990,3,3816,41.922,0.193
"VLC",35.840,4,11641,55.896,0.588
"Audioformat",35.820,3,3925,41.922,0.198
"Nutzer",35.810,155,1178983,2165.984,59.520
"unkommerziell",35.780,3,3951,41.922,0.199
"Wikimedia",35.630,4,11823,55.896,0.597
"complete",35.600,3,4072,41.922,0.206
"have",35.560,10,58579,139.741,2.957
"Mellon",35.560,3,4098,41.922,0.207
"Monopolstellung",35.530,4,11912,55.896,0.601
"kompiliert",35.210,3,4342,41.922,0.219
"Licence",35.040,3,4453,41.922,0.225
"restriktiv",34.970,9,51992,125.767,2.625
"Wichmann",34.960,4,12432,55.896,0.628
"Befürworter",34.880,14,91874,195.637,4.638
"Becker",34.650,33,244374,461.145,12.337
"History",34.400,9,53191,125.767,2.685
"Softwareversion",34.350,3,4940,41.922,0.249
"using",34.270,3,5001,41.922,0.252
"PatG",34.090,3,5131,41.922,0.259
"Endbenutzer",34.080,3,5143,41.922,0.260
"Ada",34.050,4,13293,55.896,0.671
"society",33.970,3,5217,41.922,0.263
"Unternehmenspraxis",33.770,3,5367,41.922,0.271
"view",33.730,4,13606,55.896,0.687
"weitergegeben",33.470,3,5593,41.922,0.282
"Übersetzung",33.380,53,420342,740.627,21.221
"code",33.040,4,14298,55.896,0.722
"than",33.000,5,22726,69.870,1.147
"Elliot",33.000,4,14340,55.896,0.724
"Freedom",32.830,6,31377,83.845,1.584
"Wirtschaftsinformatik",32.720,6,31562,83.845,1.593
"Verbreitung",32.640,42,336984,586.912,17.012
"from",32.620,14,99604,195.637,5.028
"LibreOffice",32.600,3,6275,41.922,0.317
"verschleiert",32.580,4,14789,55.896,0.747
"Computerhersteller",32.560,3,6301,41.922,0.318
"Softwarepaket",32.550,4,14817,55.896,0.748
"Koordinierung",32.470,7,40483,97.819,2.044
"Linus",32.410,6,32047,83.845,1.618
"dösen",32.320,5,23627,69.870,1.193
"auferlegen",32.310,11,75038,153.715,3.788
"Kernel",32.230,7,40916,97.819,2.066
"migrieren",32.170,4,15222,55.896,0.768
"substantiell",32.170,5,23829,69.870,1.203
"Evers",32.150,4,15245,55.896,0.770
"Programmänderung",32.130,3,6650,41.922,0.336
"definition",32.130,3,6651,41.922,0.336
"used",32.020,3,6743,41.922,0.340
"most",32.020,4,15394,55.896,0.777
"since",31.990,3,6767,41.922,0.342
"copyright",31.900,3,6845,41.922,0.346
"Understanding",31.860,3,6875,41.922,0.347
"Non",31.790,5,24347,69.870,1.229
"available",31.670,3,7040,41.922,0.355
"concept",31.530,3,7154,41.922,0.361
"Programmversion",31.200,3,7439,41.922,0.376
"Pragmatismus",31.010,4,16539,55.896,0.835
"Creative",30.740,10,70879,139.741,3.578
"computern",30.720,4,16877,55.896,0.852
"Englische",30.590,12,89409,167.689,4.514
"other",30.540,4,17090,55.896,0.863
"done",30.370,3,8190,41.922,0.413
"kompilieren",30.290,4,17401,55.896,0.878
"Usability",30.250,8,54039,111.793,2.728
"Verbreiten",30.210,3,8338,41.922,0.421
"gewährt",30.180,7,45051,97.819,2.274
"access",30.170,3,8373,41.922,0.423
"development",29.990,3,8544,41.922,0.431
"word",29.950,3,8581,41.922,0.433
"Patentschutz",29.940,3,8590,41.922,0.434
"urheberrechtlich",29.920,9,64127,125.767,3.237
"should",29.880,3,8642,41.922,0.436
"Perl",29.880,6,36437,83.845,1.839
"Nutzungsbedingung",29.850,8,55051,111.793,2.779
"Mikroprozessor",29.710,3,8810,41.922,0.445
"Commerce",29.690,6,36790,83.845,1.857
"use",29.640,5,27554,69.870,1.391
"Definition",29.530,49,440118,684.731,22.219
"Zugänglichkeit",29.380,5,27967,69.870,1.412
"APIs",29.150,3,9356,41.922,0.472
"General",29.000,34,305365,475.119,15.416
"swatantra",28.950,2,0,27.948,0.000
"sourceforce",28.950,2,0,27.948,0.000
"linuxdigest",28.950,2,0,27.948,0.000
"Werkderivaten",28.950,2,0,27.948,0.000
"VERGLEICHSSTUDIE",28.950,2,0,27.948,0.000
"Softwareentwicklungsperspektive",28.950,2,0,27.948,0.000
"Silberfeld_Free_Software",28.950,2,0,27.948,0.000
"Nutzungsfreihalten",28.950,2,0,27.948,0.000
"Lakahani",28.950,2,0,27.948,0.000
"Jоегg",28.950,2,0,27.948,0.000
"Hunnenbarg",28.950,2,0,27.948,0.000
"HIPPSOFT",28.950,2,0,27.948,0.000
"Dateiderivaten",28.950,2,0,27.948,0.000
"Abteilung_BIT",28.950,2,0,27.948,0.000
"PlayOgg",28.950,2,1,27.948,0.000
"Opensources",28.950,2,1,27.948,0.000
"Kapazitätsübertragung",28.950,2,1,27.948,0.000
"Distributionsfall",28.950,2,1,27.948,0.000
"Werkderivat",28.950,2,2,27.948,0.000
"Rechtslich",28.950,2,2,27.948,0.000
"Kompromissbezeichnung",28.950,2,2,27.948,0.000
"Grommen",28.950,2,2,27.948,0.000
"Badvista",28.950,2,2,27.948,0.000
"customise",28.940,2,3,27.948,0.000
"Schwimmwettkampfprogramm",28.940,2,3,27.948,0.000
"KNetAttach",28.940,2,3,27.948,0.000
"usoft",28.940,2,4,27.948,0.000
"Schnittstellenfreigabe",28.940,2,4,27.948,0.000
"Patentauflage",28.940,2,4,27.948,0.000
"CrefoDirect",28.940,2,4,27.948,0.000
"Beschränkungsverwaltung",28.940,2,4,27.948,0.000
"Quellode",28.940,2,5,27.948,0.000
"enquiring",28.940,2,7,27.948,0.000
"Softwaregemeinschaft",28.940,2,7,27.948,0.000
"Kompromissebene",28.940,2,7,27.948,0.000
"Kompromissbegriff",28.940,2,7,27.948,0.000
"Hissam",28.940,2,7,27.948,0.000
"Auskunftsabruf",28.940,2,7,27.948,0.000
"ifross",28.940,2,9,27.948,0.000
"Neuvertrieb",28.940,2,9,27.948,0.000
"microcomputer",28.930,2,10,27.948,0.001
"istungen",28.930,2,10,27.948,0.001
"FISL",28.930,2,10,27.948,0.001
"Abamsoft",28.930,2,14,27.948,0.001
"Freiheitsvision",28.920,2,16,27.948,0.001
"Landley",28.920,2,17,27.948,0.001
"wertebasierend",28.920,2,18,27.948,0.001
"Rodrich",28.920,2,18,27.948,0.001
"Ockman",28.920,2,20,27.948,0.001
"Villanuevas",28.920,2,21,27.948,0.001
"Ursprungssoftware",28.920,2,22,27.948,0.001
"Pflichtmerkmal",28.910,2,24,27.948,0.001
"unauthorised",28.910,2,26,27.948,0.001
"Stewin",28.910,2,26,27.948,0.001
"Respects",28.910,2,26,27.948,0.001
"Nutzerentscheidung",28.910,2,26,27.948,0.001
"Babbling",28.910,2,26,27.948,0.001
"Auslieferungsbedingung",28.910,2,26,27.948,0.001
"Rechnersoftware",28.910,2,27,27.948,0.001
"RYF",28.910,2,27,27.948,0.001
"perpetrator",28.910,2,29,27.948,0.001
"funktionseinschränkend",28.900,2,31,27.948,0.002
"Softwarenutzungsrecht",28.900,2,32,27.948,0.002
"superfluous",28.900,2,33,27.948,0.002
"initative",28.900,2,35,27.948,0.002
"distros",28.900,2,35,27.948,0.002
"Programmierstile",28.890,2,37,27.948,0.002
"WTFPL",28.890,2,39,27.948,0.002
"recollection",28.890,2,41,27.948,0.002
"Theorizing",28.890,2,43,27.948,0.002
"Bazaars",28.850,2,64,27.948,0.003
"Nutzervereinbarung",28.850,2,69,27.948,0.003
"Softwaremodelle",28.850,2,70,27.948,0.004
"Stahringer",28.840,2,74,27.948,0.004
"Bundesstaatsebene",28.840,2,74,27.948,0.004
"Weiterverwendung",28.840,3,9672,41.922,0.488
"advocates",28.830,2,79,27.948,0.004
"authorised",28.830,2,81,27.948,0.004
"Zurückweise",28.830,2,81,27.948,0.004
"Dienstleistungsaspekt",28.820,2,91,27.948,0.005
"Defective",28.810,2,96,27.948,0.005
"unintended",28.810,2,98,27.948,0.005
"programmers",28.800,2,99,27.948,0.005
"Programmnutzer",28.790,2,106,27.948,0.005
"Profitspanne",28.780,2,118,27.948,0.006
"Privatkundenberaterin",28.780,2,119,27.948,0.006
"DiBona",28.770,2,121,27.948,0.006
"willingness",28.770,2,124,27.948,0.006
"Lizenzanforderung",28.760,2,130,27.948,0.007
"licenses",28.760,2,131,27.948,0.007
"Rahmenpunkt",28.760,2,131,27.948,0.007
"Ausschließbarkeit",28.760,2,133,27.948,0.007
"Lizenzarten",28.750,2,134,27.948,0.007
"Serviceberaterin",28.740,2,145,27.948,0.007
"has",28.730,5,29047,69.870,1.466
"DECUS",28.730,2,149,27.948,0.008
"Lizenzkonzept",28.720,2,159,27.948,0.008
"Kluss",28.710,2,164,27.948,0.008
"Programmlizenz",28.700,2,171,27.948,0.009
"NXC",28.700,2,172,27.948,0.009
"Geheimhaltungsvertrag",28.690,2,177,27.948,0.009
"Clipboards",28.690,2,181,27.948,0.009
"Softwarebestandteil",28.680,2,185,27.948,0.009
"Webforms",28.680,2,186,27.948,0.009
"Einsendung",28.680,7,48446,97.819,2.446
"Datenverarbeitungsverfahren",28.670,2,190,27.948,0.010
"rejection",28.660,2,199,27.948,0.010
"Produktneutralität",28.650,2,207,27.948,0.010
"specialists",28.640,2,211,27.948,0.011
"Viesel",28.640,2,214,27.948,0.011
"Unterroutine",28.620,2,224,27.948,0.011
"Lizenzmodellen",28.620,2,225,27.948,0.011
"Baumkatasters",28.620,2,228,27.948,0.012
"Libr",28.610,2,233,27.948,0.012
"Unternehmenshauptsitz",28.610,2,234,27.948,0.012
"Schädigen",28.610,2,235,27.948,0.012
"Anwendergemeinschaft",28.600,2,244,27.948,0.012
"argue",28.580,2,255,27.948,0.013
"spine",28.570,2,260,27.948,0.013
"occur",28.570,2,262,27.948,0.013
"Superflex",28.570,2,265,27.948,0.013
"ifrOSS",28.560,2,266,27.948,0.013
"InfoWorld",28.560,2,266,27.948,0.013
"Ersatzwort",28.560,2,269,27.948,0.014
"Harhoff",28.540,2,282,27.948,0.014
"hinzuzufügend",28.540,2,283,27.948,0.014
"not",28.540,18,155477,251.534,7.849
"specifically",28.520,2,296,27.948,0.015
"Enquiry",28.520,2,299,27.948,0.015
"PUTZ",28.510,2,303,27.948,0.015
"Schnittstellenspezifikation",28.510,2,305,27.948,0.015
"differ",28.490,2,320,27.948,0.016
"Bibliotheksprogramm",28.480,2,325,27.948,0.016
"Lizenztyp",28.470,2,335,27.948,0.017
"Licenses",28.470,2,336,27.948,0.017
"geclippt",28.460,2,339,27.948,0.017
"Redistribution",28.460,2,343,27.948,0.017
"Helmreich",28.440,2,351,27.948,0.018
"Lizenzmanager",28.440,2,353,27.948,0.018
"Kernarbeit",28.440,2,355,27.948,0.018
"SPAK",28.430,2,358,27.948,0.018
"softwarebezogen",28.420,2,370,27.948,0.019
"Originalprogramm",28.370,2,403,27.948,0.020
"distribuiert",28.340,2,423,27.948,0.021
"Sebastopol",28.330,2,432,27.948,0.022
"technological",28.320,2,437,27.948,0.022
"Restrictions",28.310,2,450,27.948,0.023
"Anwenderhandbuch",28.290,2,459,27.948,0.023
"Strategiesitzung",28.290,2,461,27.948,0.023
"Unternehmensbedürfnis",28.280,2,465,27.948,0.023
"Minix",28.270,2,474,27.948,0.024
"Baumkontrolleur",28.270,2,475,27.948,0.024
"SlideShare",28.260,2,479,27.948,0.024
"Stehmann",28.250,2,486,27.948,0.025
"Treiberunterstützung",28.250,2,492,27.948,0.025
"Eigentümerrecht",28.240,2,498,27.948,0.025
"Vermarktungsmodell",28.240,2,499,27.948,0.025
"Lizenzpflicht",28.230,2,505,27.948,0.025
"Programmentwickler",28.220,2,513,27.948,0.026
"offered",28.210,2,519,27.948,0.026
"inakzeptabel",28.210,6,39770,83.845,2.008
"Systemkern",28.210,2,521,27.948,0.026
"ethical",28.200,2,527,27.948,0.027
"Internetpräsenz",28.200,9,69247,125.767,3.496
"about",28.190,6,39813,83.845,2.010
